time,values
1635978600000,1.1589999999999998
1635979500000,1.1604999999999999
1635980400000,1.1604999999999999
1635981300000,1.1595
1635982200000,1.1595
1635983100000,1.1595
1635984000000,1.1595
1635984900000,1.1595
1635985800000,1.1595
1635986700000,1.1589999999999998
1635987600000,1.1585
1635988500000,1.1585
1635989400000,1.1585
1635990300000,1.1585
1635991200000,1.1585
1635992100000,1.1585
1635993000000,1.1585
1635993900000,1.1585
1635994800000,1.1585
1635995700000,1.1585
1635996600000,1.1585
1635997500000,1.1585
1635998400000,1.1585
1635999300000,1.1585
1636000200000,1.158
1636001100000,1.1575
1636002000000,1.1575
1636002900000,1.1575
1636003800000,1.1575
1636004700000,1.1575
1636005600000,1.1575
1636006500000,1.1575
1636007400000,1.1575
1636008300000,1.1575
1636009200000,1.1575
1636010100000,1.1575
1636011000000,1.1575
1636011900000,1.157
1636012800000,1.1564999999999999
1636013700000,1.1564999999999999
1636014600000,1.1560000000000001
1636015500000,1.1555
1636016400000,1.1555
1636017300000,1.1555
1636018200000,1.1555
1636019100000,1.1555
1636020000000,1.1555
1636020900000,1.1555
1636021800000,1.1555
1636022700000,1.1555
1636023600000,1.1555
1636024500000,1.1555
1636025400000,1.1560000000000001
1636026300000,1.1564999999999999
1636027200000,1.1560000000000001
1636028100000,1.1555
1636029000000,1.1555
1636029900000,1.1560000000000001
1636030800000,1.157
1636031700000,1.1575
1636032600000,1.158
1636033500000,1.158
1636034400000,1.158
1636035300000,1.1575
1636036200000,1.1575
1636037100000,1.1564999999999999
1636038000000,1.1564999999999999
1636038900000,1.1560000000000001
1636039800000,1.1555
1636040700000,1.1560000000000001
1636041600000,1.157
1636042500000,1.157
1636043400000,1.1555
1636044300000,1.154
1636045200000,1.1545
1636046100000,1.1545
1636047000000,1.154
1636047900000,1.153
1636048800000,1.1524999999999999
1636049700000,1.1524999999999999
1636050600000,1.1524999999999999
1636051500000,1.153
1636052400000,1.1535
1636053300000,1.1535
1636054200000,1.1535
1636055100000,1.1535
1636056000000,1.1535
1636056900000,1.1535
1636057800000,1.1535
1636058700000,1.1535
1636059600000,1.1535
1636060500000,1.1535
1636061400000,1.1535
1636062300000,1.1535
1636063200000,1.1535
1636064100000,1.1535
1636065000000,1.1535
1636065900000,1.1535
1636066800000,1.1535
1636067700000,1.1535
1636068600000,1.1535
1636069500000,1.1535
1636070400000,1.1535
1636071300000,1.1535
1636072200000,1.1535
1636073100000,1.1535
1636074000000,1.1535
1636074900000,1.1535
1636075800000,1.1535
1636076700000,1.1535
1636077600000,1.153
1636078500000,1.1524999999999999
1636079400000,1.1524999999999999
1636080300000,1.1524999999999999
1636081200000,1.1524999999999999
1636082100000,1.1524999999999999
1636083000000,1.1524999999999999
1636083900000,1.1524999999999999
1636084800000,1.1524999999999999
1636085700000,1.1524999999999999
1636086600000,1.1524999999999999
1636087500000,1.1524999999999999
1636088400000,1.1524999999999999
1636089300000,1.1524999999999999
1636090200000,1.1524999999999999
1636091100000,1.1524999999999999
1636092000000,1.1524999999999999
1636092900000,1.1524999999999999
1636093800000,1.1524999999999999
1636094700000,1.153
1636095600000,1.1535
1636096500000,1.1535
1636097400000,1.154
1636098300000,1.1545
1636099200000,1.1545
1636100100000,1.1545
1636101000000,1.1545
1636101900000,1.1545
1636102800000,1.154
1636103700000,1.153
1636104600000,1.1524999999999999
1636105500000,1.1524999999999999
1636106400000,1.1524999999999999
1636107300000,1.1524999999999999
1636108200000,1.1520000000000001
1636109100000,1.1515
1636110000000,1.1515
1636110900000,1.1515
1636111800000,1.1515
1636112700000,1.1515
1636113600000,1.1515
1636114500000,1.1515
1636115400000,1.1509999999999998
1636116300000,1.1505
1636117200000,1.1505
1636118100000,1.1505
1636119000000,1.1505
1636119900000,1.1505
1636120800000,1.1505
1636121700000,1.1505
1636122600000,1.1505
1636123500000,1.1505
1636124400000,1.15
1636125300000,1.15
1636126200000,1.1505
1636127100000,1.1505
1636128000000,1.1505
1636128900000,1.1505
1636129800000,1.1505
1636130700000,1.1505
1636131600000,1.1505
1636132500000,1.1505
1636133400000,1.1505
1636134300000,1.15
1636135200000,1.1495
1636136100000,1.1495
1636137000000,1.1495
1636137900000,1.1495
1636138800000,1.1495
1636139700000,1.1495
1636140600000,1.1495
1636141500000,1.149
1636142400000,1.1484999999999999
1636143300000,1.1484999999999999
1636144200000,1.1484999999999999
1636145100000,1.1480000000000001
1636146000000,1.1475
1636146900000,1.1475
1636147800000,1.1475
1636148700000,1.1475
1636149600000,1.1475
1636150500000,1.1475
1636151400000,1.1475
1636152300000,1.1480000000000001
1636153200000,1.1484999999999999
1636154100000,1.1484999999999999
1636155000000,1.1484999999999999
1636155900000,1.1484999999999999
1636156800000,1.1484999999999999
1636157700000,1.1484999999999999
1636158600000,1.1484999999999999
1636159500000,1.1484999999999999
1636160400000,1.149
1636161300000,1.1495
1636162200000,1.1495
1636163100000,1.1495
1636164000000,1.1495
1636164900000,1.1495
1636165800000,1.1495
1636166700000,1.1495
1636167600000,1.1495
1636168500000,1.1495
1636169400000,1.1495
1636170300000,1.1495
1636171200000,1.1495
1636172100000,1.1495
1636173000000,1.1495
1636173900000,1.1495
1636174800000,1.1495
1636175700000,1.1495
1636176600000,1.1495
1636177500000,1.1495
1636178400000,1.1495
1636179300000,1.1495
1636180200000,1.1495
1636181100000,1.1495
1636182000000,1.1495
1636182900000,1.149
1636183800000,1.1484999999999999
1636184700000,1.1484999999999999
1636185600000,1.1484999999999999
1636186500000,1.1484999999999999
1636187400000,1.1484999999999999
1636188300000,1.1484999999999999
1636189200000,1.1484999999999999
1636190100000,1.1484999999999999
1636191000000,1.1484999999999999
1636191900000,1.1484999999999999
1636192800000,1.1484999999999999
1636193700000,1.1484999999999999
1636194600000,1.1484999999999999
1636195500000,1.1484999999999999
1636196400000,1.1480000000000001
1636197300000,1.1469999999999998
1636198200000,1.1475
1636199100000,1.1475
1636200000000,1.1475
1636200900000,1.1475
1636201800000,1.1480000000000001
1636202700000,1.1484999999999999
1636203600000,1.1484999999999999
1636204500000,1.1484999999999999
1636205400000,1.1484999999999999
1636206300000,1.1484999999999999
1636207200000,1.1484999999999999
1636208100000,1.1484999999999999
1636209000000,1.1484999999999999
1636209900000,1.1484999999999999
1636210800000,1.1484999999999999
1636211700000,1.1484999999999999
1636212600000,1.1484999999999999
1636213500000,1.1484999999999999
1636214400000,1.1484999999999999
1636215300000,1.1484999999999999
1636216200000,1.1484999999999999
1636217100000,1.1484999999999999
1636218000000,1.1484999999999999
1636218900000,1.1484999999999999
1636219800000,1.1484999999999999
1636220700000,1.1484999999999999
1636221600000,1.1484999999999999
1636222500000,1.1484999999999999
1636223400000,1.1484999999999999
1636224300000,1.1484999999999999
1636225200000,1.1484999999999999
1636226100000,1.1484999999999999
1636227000000,1.1484999999999999
1636227900000,1.1484999999999999
1636228800000,1.1484999999999999
1636229700000,1.1484999999999999
1636230600000,1.1484999999999999
1636231500000,1.1484999999999999
1636232400000,1.1484999999999999
1636233300000,1.1484999999999999
1636234200000,1.1484999999999999
1636235100000,1.1484999999999999
1636236000000,1.1484999999999999
1636236900000,1.149
1636237800000,1.1495
1636238700000,1.1495
1636239600000,1.1495
1636240500000,1.15
1636241400000,1.1505
1636242300000,1.1505
1636243200000,1.1505
1636244100000,1.1505
1636245000000,1.1505
1636245900000,1.1505
1636246800000,1.1505
1636247700000,1.1505
1636248600000,1.1505
1636249500000,1.1505
1636250400000,1.1505
1636251300000,1.1505
1636252200000,1.1505
1636253100000,1.1505
1636254000000,1.1505
1636254900000,1.1505
1636255800000,1.1505
1636256700000,1.1505
1636257600000,1.1505
1636258500000,1.1505
1636259400000,1.1505
1636260300000,1.1505
1636261200000,1.1505
1636262100000,1.1505
1636263000000,1.1505
1636263900000,1.1505
1636264800000,1.1505
1636265700000,1.1505
1636266600000,1.1505
1636267500000,1.1505
1636268400000,1.1505
1636269300000,1.1505
1636270200000,1.1505
1636271100000,1.1505
1636272000000,1.1505
1636272900000,1.1505
1636273800000,1.1505
1636274700000,1.1505
1636275600000,1.1505
1636276500000,1.1505
1636277400000,1.1505
1636278300000,1.1505
1636279200000,1.1505
1636280100000,1.1505
1636281000000,1.1505
1636281900000,1.1505
1636282800000,1.1505
1636283700000,1.15
1636284600000,1.1495
1636285500000,1.1495
1636286400000,1.1495
1636287300000,1.1495
1636288200000,1.1495
1636289100000,1.1495
1636290000000,1.1495
1636290900000,1.1495
